,单身总,单身男,单身女
总  计,1005459,553456,452003
15-19岁,327873,176133,151740
20-24岁,238813,145464,93349
25-29岁,96725,69061,27664
30-34岁,49238,37028,12210
35-39岁,35571,25801,9770
40-44岁,27181,17410,9771
45-49岁,23074,12280,10794
50-54岁,17597,7711,9886
55-59岁,23625,9029,14596
60-64岁,26512,9334,17178
65岁及以上,139250,44205,95045
