,单身总,单身男,单身女
总计：,495125,263124,232001
15-19岁,150215,78030,72185
20-24岁,135886,76368,59518
25-29岁,46280,30234,16046
30-34岁,16429,11773,4656
35-39岁,15412,10863,4549
40-44岁,14493,9544,4949
45-49岁,12959,7456,5503
50-54岁,12388,6441,5947
55-59岁：,13569,6089,7480
60-64岁：,13559,4879,8680
65岁及以上;,63935,21447,42488
