,单身总,单身男,单身女
总  计,537067,270381,266686
15-19岁,95900,49988,45912
20-24岁,203113,107132,95981
25-29岁,96022,54488,41534
30-34岁,26990,15515,11475
35-39岁,14195,7654,6541
40-44岁,11085,5754,5331
45-49岁,11054,5266,5788
50-54岁,10156,4422,5734
55-59岁,9592,3421,6171
60-64岁,7625,2369,5256
65岁及以上,51335,14372,36963
