,单身总,单身男,单身女
总计：,1151456,587866,563590
15-19岁,416124,218756,197368
20-24岁,280277,149170,131107
25-29岁,61180,38114,23066
30-34岁,23426,16535,6891
35-39岁,21452,15530,5922
40-44岁,23778,16214,7564
45-49岁,21526,12647,8879
50-54岁,16353,9403,6950
55-59岁：,31846,16829,15017
60-64岁：,38702,18869,19833
65岁及以上;,216792,75799,140993
