,单身总,单身男,单身女
总  计,1991259,994074,997185
15-19岁,491255,258136,233119
20-24岁,692397,362049,330348
25-29岁,158317,88290,70027
30-34岁,42413,26751,15662
35-39岁,33758,22915,10843
40-44岁,38334,25952,12382
45-49岁,37165,22487,14678
50-54岁,40089,22981,17108
55-59岁,57349,29390,27959
60-64岁,60101,26014,34087
65岁及以上,340081,109109,230972
