,单身总,单身男,单身女
总计：,824271,431471,392800
15-19岁,319522,162258,157264
20-24岁,220260,122672,97588
25-29岁,59770,38221,21549
30-34岁,18937,13641,5296
35-39岁,17769,13275,4494
40-44岁,16452,11619,4833
45-49岁,14985,9445,5540
50-54岁,15386,8807,6579
55-59岁：,19573,9743,9830
60-64岁：,20910,8631,12279
65岁及以上;,100707,33159,67548
