,单身总,单身男,单身女
总计：,1069282,577870,491412
15-19岁,300154,161359,138795
20-24岁,247402,141729,105673
25-29岁,125712,80607,45105
30-34岁,54857,38728,16129
35-39岁,35055,25462,9593
40-44岁,29174,20109,9065
45-49岁,24945,14927,10018
50-54岁,22484,11934,10550
55-59岁：,28955,14007,14948
60-64岁：,31044,13673,17371
65岁及以上;,169500,55335,114165
