,单身总,单身男,单身女
总  计,2105412,1071709,1033703
15-19岁,692202,364330,327872
20-24岁,657328,340392,316936
25-29岁,145795,82091,63704
30-34岁,50021,32061,17960
35-39岁,37591,26406,11185
40-44岁,36982,24968,12014
45-49岁,33065,18993,14072
50-54岁,34984,19715,15269
55-59岁,56040,29525,26515
60-64岁,62137,29530,32607
65岁及以上,299267,103698,195569
