,单身总,单身男,单身女
总计：,1197074,623111,573963
15-19岁,344361,179510,164851
20-24岁,358323,201137,157186
25-29岁,118129,79266,38863
30-34岁,36920,26023,10897
35-39岁,27442,18772,8670
40-44岁,26140,16748,9392
45-49岁,24375,14141,10234
50-54岁,21980,11441,10539
55-59岁：,27340,12331,15009
60-64岁：,30486,10954,19532
65岁及以上;,181578,52788,128790
