,单身总,单身男,单身女
总  计,1272624,670692,601932
15-19岁,397914,214523,183391
20-24岁,362334,201714,160620
25-29岁,103037,66133,36904
30-34岁,37315,26329,10986
35-39岁,27725,19558,8167
40-44岁,27247,17829,9418
45-49岁,26437,15309,11128
50-54岁,24827,12703,12124
55-59岁,34016,16133,17883
60-64岁,39588,16724,22864
65岁及以上,192184,63737,128447
