,单身总,单身男,单身女
总  计,861017,442149,418868
15-19岁,253829,133712,120117
20-24岁,274096,149341,124755
25-29岁,91256,58409,32847
30-34岁,26370,18250,8120
35-39岁,18908,12429,6479
40-44岁,16332,9713,6619
45-49岁,14633,7500,7133
50-54岁,14393,6567,7826
55-59岁,18551,7086,11465
60-64岁,18686,6368,12318
65岁及以上,113963,32774,81189
