,单身总,单身男,单身女
总  计,701947,376590,325357
15-19岁,255894,136956,118938
20-24岁,140525,83814,56711
25-29岁,48662,34401,14261
30-34岁,24402,18584,5818
35-39岁,22383,16277,6106
40-44岁,20066,13069,6997
45-49岁,17454,9898,7556
50-54岁,14315,6857,7458
55-59岁,20335,8591,11744
60-64岁,23350,8991,14359
65岁及以上,114561,39152,75409
