,单身总,单身男,单身女
总计：,1035997,523842,512155
15-19岁,237933,123299,114634
20-24岁,275528,148707,126821
25-29岁,83524,67079,16445
30-34岁,49462,31250,18212
35-39岁,35626,21579,14047
40-44岁,36070,20620,15450
45-49岁,37299,14335,22964
50-54岁,34780,16189,18591
55-59岁：,33835,14360,19475
60-64岁：,28955,11032,17923
65岁及以上;,152985,50392,102593
