,单身总,单身男,单身女
总计：,940130,500844,439286
15-19岁,302845,159994,142851
20-24岁,295925,163632,132293
25-29岁,76709,49657,27052
30-34岁,24546,17606,6940
35-39岁,20352,15185,5167
40-44岁,18268,12905,5363
45-49岁,16838,10725,6113
50-54岁,17697,9822,7875
55-59岁：,22867,11158,11709
60-64岁：,25015,10470,14545
65岁及以上;,119068,39690,79378
