,单身总,单身男,单身女
总  计,128629,67706,60923
15-19岁,43929,22885,21044
20-24岁,28525,16692,11833
25-29岁,11563,7433,4130
30-34岁,6622,4394,2228
35-39岁,5734,3702,2032
40-44岁,4937,2864,2073
45-49岁,3532,1689,1843
50-54岁,2403,963,1440
55-59岁,3231,1151,2080
60-64岁,3685,1194,2491
65岁及以上,14468,4739,9729
