,单身总,单身男,单身女
总计：,815860,418403,397457
15-19岁,195641,100487,95154
20-24岁,211733,114082,97651
25-29岁,83522,49949,33573
30-34岁,43459,27694,15765
35-39岁,37307,23653,13654
40-44岁,32872,19677,13195
45-49岁,29452,15518,13934
50-54岁,25401,11760,13641
55-59岁：,26431,10544,15887
60-64岁：,26057,9545,16512
65岁及以上;,103985,35494,68491
